date,timeStamp,temperature,outside temperature,humidity,co2,pm2.5,pm10,pressure,gasResistance
2024-01-29,18:52:24,17.52,8.84,58.457,580,5.1,10.2,1028.23,
2024-01-29,18:57:24,18.22,8.84,64.524,620,4.3,8.4,1027.55,
2024-01-29,19:02:24,18.4,8.83,65.139,617,4.4,14.0,1027.35,
2024-01-29,19:07:24,18.55,8.83,65.208,629,4.4,9.4,1027.18,
2024-01-29,19:12:24,18.66,8.84,64.998,615,5.0,11.4,1027.06,
2024-01-29,19:17:24,18.74,8.82,65.074,667,10.6,29.8,1026.96,
2024-01-29,19:22:24,18.8,8.84,65.541,677,13.3,40.6,1026.9,
2024-01-29,19:27:24,18.84,8.8,65.333,690,13.6,38.5,1026.81,
2024-01-29,19:32:24,18.87,8.8,65.355,716,14.3,38.9,1026.79,
2024-01-29,19:37:24,18.88,8.85,65.259,694,14.8,49.0,1026.77,
2024-01-29,19:42:24,18.89,8.85,65.23,668,14.3,40.7,1026.71,
2024-01-29,19:47:24,18.88,8.82,65.524,640,14.2,40.2,1026.67,
2024-01-29,19:52:24,18.87,8.82,65.012,629,12.9,38.1,1026.63,
2024-01-29,19:57:24,18.82,8.83,65.205,613,12.9,35.7,1026.61,
2024-01-29,20:02:24,18.78,8.83,65.07,598,11.9,34.7,1026.59,
2024-01-29,20:07:24,18.73,8.83,65.045,572,10.6,28.7,1026.59,
2024-01-29,20:12:24,18.67,8.82,65.48899999999999,567,10.3,26.4,1026.55,
2024-01-29,20:17:24,18.61,8.83,65.447,556,10.2,28.4,1026.55,
2024-01-29,20:22:24,18.56,8.85,65.585,546,10.4,24.8,1026.55,
2024-01-29,20:27:24,18.5,8.85,65.57300000000001,536,9.5,21.2,1026.55,
2024-01-29,20:32:24,18.43,8.86,65.71300000000001,520,8.3,18.5,1026.49,
2024-01-29,20:37:24,18.37,8.86,65.95,524,8.5,26.4,1026.49,
2024-01-29,20:42:24,18.3,8.85,65.945,597,7.8,20.9,1026.47,
2024-01-29,20:47:24,18.3,9.05,65.972,667,6.9,16.5,1026.42,
2024-01-29,20:52:24,18.33,8.85,66.033,694,7.2,14.4,1026.43,
2024-01-29,20:57:24,18.37,9.1,66.156,711,6.9,15.0,1026.43,
2024-01-29,21:02:24,18.41,9.1,66.304,762,6.8,18.5,1026.43,
2024-01-29,21:07:24,18.47,9.24,66.487,786,6.5,16.1,1026.4,
2024-01-29,21:12:24,18.51,9.28,66.227,792,6.3,15.9,1026.42,
2024-01-29,21:17:24,18.54,9.28,65.96300000000001,806,6.2,11.6,1026.38,
2024-01-29,21:22:24,18.57,9.12,65.953,807,6.1,15.1,1026.38,
2024-01-29,21:27:24,18.6,9.31,65.913,819,5.6,11.5,1026.38,
2024-01-29,21:32:24,18.63,9.12,65.809,832,5.6,10.1,1026.4,
2024-01-29,21:37:24,18.66,9.29,65.835,1015,5.8,12.0,1026.38,
2024-01-29,21:42:24,18.68,9.29,65.791,1039,5.6,11.0,1026.36,
2024-01-29,21:47:24,18.71,9.29,65.95100000000001,1047,5.3,16.0,1026.32,
2024-01-29,21:52:24,18.73,9.29,67.271,1048,5.7,15.1,1026.32,
2024-01-29,21:57:24,18.76,9.29,66.979,1017,5.5,13.7,1026.28,
2024-01-29,22:02:24,18.77,9.32,67.053,1045,5.5,10.6,1026.26,
2024-01-29,22:07:24,18.79,9.32,67.104,1045,5.2,9.1,1026.22,
2024-01-29,22:12:24,18.8,9.27,66.999,1050,5.1,9.5,1026.2,
2024-01-29,22:17:24,18.81,9.27,66.79899999999999,1045,5.3,10.9,1026.16,
2024-01-29,22:22:24,18.8,9.24,67.35,1008,4.9,12.7,1026.14,
2024-01-29,22:27:24,18.75,9.02,67.243,975,5.3,14.5,1026.16,
2024-01-29,22:32:24,18.74,9.02,66.342,962,4.6,9.9,1026.14,
2024-01-29,22:37:24,18.7,9.14,66.46600000000001,971,5.0,11.2,1026.12,
2024-01-29,22:42:24,18.64,9.07,66.949,974,5.0,9.6,1026.16,
2024-01-29,22:47:24,18.57,9.07,67.11,966,4.5,7.6,1026.18,
2024-01-29,22:52:24,18.5,9.12,67.348,958,4.9,10.2,1026.24,
2024-01-29,22:57:24,18.43,9.12,67.41199999999999,939,4.9,9.5,1026.22,
2024-01-29,23:02:24,18.35,9.02,67.419,934,4.8,7.2,1026.22,
2024-01-29,23:07:24,18.28,9.02,67.564,925,4.9,8.7,1026.2,
2024-01-29,23:12:24,18.21,9.02,67.558,918,4.7,7.4,1026.16,
2024-01-29,23:17:24,18.16,8.87,67.687,903,4.6,8.2,1026.12,
2024-01-29,23:22:24,18.12,8.95,67.57,889,4.5,7.9,1026.01,
2024-01-29,23:27:24,18.09,8.87,67.447,893,5.1,8.8,1025.97,
2024-01-29,23:32:24,18.06,8.96,67.556,896,4.7,8.1,1025.97,
2024-01-29,23:37:24,18.02,8.96,67.609,892,4.8,9.1,1025.96,
2024-01-29,23:42:24,17.99,8.79,67.61399999999999,889,4.5,8.1,1025.96,
2024-01-29,23:47:24,17.94,8.79,67.89399999999999,860,4.9,7.7,1026.01,
2024-01-29,23:52:24,17.89,8.78,67.525,850,4.3,6.3,1026.01,
2024-01-29,23:57:24,17.85,8.78,67.711,850,4.4,6.3,1026.03,
