date,timeStamp,temperature,outside temperature,humidity,co2,pm2.5,pm10,pressure,gasResistance,download speed,ping,upload speed
2024-02-12,08:06:45,15.93,6.33,66.638,558,-1.0,-1.0,996.01,,44.57677623931336,21.544,92.16166205919629
2024-02-12,08:11:45,15.73,6.33,66.668,555,-1.0,-1.0,998.41,,68.12848489422176,20.956,90.87831083159443
2024-02-12,08:16:45,15.66,6.27,66.598,545,-1.0,-1.0,999.17,,77.7306636008593,21.129,96.15057670372316
2024-02-12,08:21:45,15.61,6.21,66.513,535,-1.0,-1.0,999.78,,72.4881334797096,21.266,95.4001926433391
2024-02-12,08:26:45,15.59,6.21,66.422,537,-1.0,-1.0,1000.23,,70.6442557095587,20.522,94.80841689791842
2024-02-12,08:31:45,15.57,6.19,66.477,535,-1.0,-1.0,1000.66,,76.62020326470956,21.745,94.41060959826042
2024-02-12,10:44:53,15.55,7.89,66.454,631,-1.0,-1.0,1001.0,,96.69487856123892,26.691,86.0006232855686
2024-02-12,10:47:18,15.59,7.89,66.366,635,-1.0,-1.0,1002.17,,96.873190817957,24.755,90.55098628937095
2024-02-12,10:52:18,15.62,8.01,66.377,640,-1.0,-1.0,1002.82,,99.11337183307684,25.734,91.57361306623768
2024-02-12,10:57:18,15.63,8.01,66.483,624,-1.0,-1.0,1003.12,,98.18873941384597,22.353,88.78491751122426
2024-02-12,11:02:18,15.64,8.01,66.449,610,-1.0,-1.0,1003.33,,-1.0,-1.0,-1.0
2024-02-12,11:07:18,15.65,8.1,66.255,601,-1.0,-1.0,1003.51,,95.47712189340872,22.558000000000003,90.5531339181222
2024-02-12,11:12:18,15.67,8.12,66.197,590,-1.0,-1.0,1003.66,,94.71267061801723,24.50800000000001,95.02302470761627
2024-02-12,11:17:18,15.68,8.27,66.068,592,-1.0,-1.0,1003.74,,96.86122777864874,24.124,89.8662491139882
2024-02-12,11:22:18,15.73,8.27,66.675,582,-1.0,-1.0,1003.88,,97.5271143616462,23.678,88.65321244007157
2024-02-12,11:27:18,15.83,8.43,68.145,609,-1.0,-1.0,1004.0,,96.64196087005313,22.277,86.82618685456795
2024-02-12,11:32:18,15.91,8.43,68.857,568,-1.0,-1.0,1004.06,,98.15154243032305,25.038,91.6539939852539
2024-02-12,11:37:18,16.04,8.51,67.708,528,-1.0,-1.0,1004.15,,87.89588571091,25.482,92.51098342552312
2024-02-12,11:42:18,16.14,8.58,67.07,523,-1.0,-1.0,1004.21,,97.11541823161535,24.979,91.56486760633976
2024-02-12,11:47:18,16.14,8.65,67.171,512,-1.0,-1.0,1004.29,,100.2996151181065,22.901,85.97645577935894
2024-02-12,11:52:18,16.13,8.65,67.643,514,-1.0,-1.0,1004.39,,94.55114199668283,23.638,90.59765209411941
2024-02-12,11:57:18,16.11,8.73,68.101,520,-1.0,-1.0,1004.47,,99.63411217260307,23.082,90.3620111299098
2024-02-12,12:02:18,16.09,8.73,67.385,521,-1.0,-1.0,1004.51,,99.34203731207926,26.701,91.39775018116268
2024-02-12,12:07:18,16.09,8.98,67.903,515,-1.0,-1.0,1004.54,,89.05015211793446,25.334,92.28918953370005
2024-02-12,12:12:18,16.07,9.04,68.002,510,-1.0,-1.0,1004.6,,98.76833751851706,21.685,90.94159874959699
2024-02-12,12:17:18,16.06,9.01,68.378,508,-1.0,-1.0,1004.64,,97.5257980279532,22.354,89.76419339700989
2024-02-12,12:22:18,16.05,8.98,69.086,501,-1.0,-1.0,1004.7,,95.15892269459916,25.166999999999998,88.70246799954205
2024-02-12,12:27:18,16.06,9.0,67.734,488,-1.0,-1.0,1004.72,,99.44101589339716,23.06900000000001,89.77550182860537
2024-02-12,12:32:18,16.06,9.13,67.942,481,-1.0,-1.0,1004.72,,95.17520836732606,23.764,90.91879688530649
2024-02-12,12:37:18,16.08,9.18,68.54899999999999,474,-1.0,-1.0,1004.76,,98.22232549749464,23.781,91.61747167961146
2024-02-12,12:42:18,16.09,9.11,68.208,468,-1.0,-1.0,1004.82,,100.14232139763736,22.822,92.84219855630221
2024-02-12,12:47:18,16.11,9.18,67.57,462,-1.0,-1.0,1004.9,,96.35920301976778,22.177,89.30847623538278
2024-02-12,12:52:18,16.11,9.18,68.17699999999999,449,-1.0,-1.0,1004.93,,87.70299576409445,24.057,89.3872753518385
2024-02-12,12:57:18,16.12,9.26,67.808,450,-1.0,-1.0,1004.99,,96.27025644326277,23.757,90.09596122177656
2024-02-12,13:02:18,16.11,9.26,68.42,439,-1.0,-1.0,1005.05,,-1.0,-1.0,-1.0
2024-02-12,13:07:18,16.12,9.34,67.65,444,-1.0,-1.0,1005.11,,100.03789775468523,27.264,85.10463680902608
2024-02-12,13:12:18,16.13,9.35,68.348,437,-1.0,-1.0,1005.17,,98.79071728575056,23.099,90.48351595990835
2024-02-12,13:17:18,16.14,9.31,68.875,435,-1.0,-1.0,1005.19,,91.51421328630316,25.404,94.13110759388643
2024-02-12,13:22:18,16.16,9.37,68.935,428,-1.0,-1.0,1005.21,,98.07749894521795,24.55,88.99278689878089
2024-02-12,13:27:18,16.2,9.34,69.27600000000001,429,-1.0,-1.0,1005.25,,99.88839326005102,21.617,89.77655265957821
2024-02-12,13:32:18,16.25,9.26,69.47399999999999,428,-1.0,-1.0,1005.33,,99.07400519860715,22.212,85.11062323378741
2024-02-12,13:37:18,16.31,9.19,69.768,423,-1.0,-1.0,1005.35,,91.98733928170769,24.926,91.67740251928076
2024-02-12,13:42:18,16.34,9.12,69.61,423,-1.0,-1.0,1005.4,,93.35733427411819,25.035,91.11149832599472
