temp: 15.59C 	 humi: 66.366% 	 co2: 635 	 pm25: -1.0 	 pm100: -1.0 	 press: 1002.17Pa 	 gasRes: None Ohm 	 outside temp: 7.89 C
temp: 15.62C 	 humi: 66.377% 	 co2: 640 	 pm25: -1.0 	 pm100: -1.0 	 press: 1002.82Pa 	 gasRes: None Ohm 	 outside temp: 8.01 C
temp: 15.63C 	 humi: 66.483% 	 co2: 624 	 pm25: -1.0 	 pm100: -1.0 	 press: 1003.12Pa 	 gasRes: None Ohm 	 outside temp: 8.01 C
temp: 15.64C 	 humi: 66.449% 	 co2: 610 	 pm25: -1.0 	 pm100: -1.0 	 press: 1003.33Pa 	 gasRes: None Ohm 	 outside temp: 8.01 C
temp: 15.65C 	 humi: 66.255% 	 co2: 601 	 pm25: -1.0 	 pm100: -1.0 	 press: 1003.51Pa 	 gasRes: None Ohm 	 outside temp: 8.1 C
temp: 15.67C 	 humi: 66.197% 	 co2: 590 	 pm25: -1.0 	 pm100: -1.0 	 press: 1003.66Pa 	 gasRes: None Ohm 	 outside temp: 8.12 C
temp: 15.68C 	 humi: 66.068% 	 co2: 592 	 pm25: -1.0 	 pm100: -1.0 	 press: 1003.74Pa 	 gasRes: None Ohm 	 outside temp: 8.27 C
temp: 15.73C 	 humi: 66.675% 	 co2: 582 	 pm25: -1.0 	 pm100: -1.0 	 press: 1003.88Pa 	 gasRes: None Ohm 	 outside temp: 8.27 C
temp: 15.83C 	 humi: 68.145% 	 co2: 609 	 pm25: -1.0 	 pm100: -1.0 	 press: 1004.0Pa 	 gasRes: None Ohm 	 outside temp: 8.43 C
temp: 15.91C 	 humi: 68.857% 	 co2: 568 	 pm25: -1.0 	 pm100: -1.0 	 press: 1004.06Pa 	 gasRes: None Ohm 	 outside temp: 8.43 C
temp: 16.04C 	 humi: 67.708% 	 co2: 528 	 pm25: -1.0 	 pm100: -1.0 	 press: 1004.15Pa 	 gasRes: None Ohm 	 outside temp: 8.51 C
temp: 16.14C 	 humi: 67.07% 	 co2: 523 	 pm25: -1.0 	 pm100: -1.0 	 press: 1004.21Pa 	 gasRes: None Ohm 	 outside temp: 8.58 C
temp: 16.14C 	 humi: 67.171% 	 co2: 512 	 pm25: -1.0 	 pm100: -1.0 	 press: 1004.29Pa 	 gasRes: None Ohm 	 outside temp: 8.65 C
temp: 16.13C 	 humi: 67.643% 	 co2: 514 	 pm25: -1.0 	 pm100: -1.0 	 press: 1004.39Pa 	 gasRes: None Ohm 	 outside temp: 8.65 C
